tenure_months,monthly_charges,contract,support_calls,payment_method,churned
10,33.79,one-year,0,bank transfer,no
10,59.04,month-to-month,1,electronic check,yes
57,69.78,one-year,0,bank transfer,no
36,48.58,month-to-month,0,bank transfer,no
42,80.58,month-to-month,2,electronic check,no
43,80.25,one-year,2,credit card,no
51,43.98,month-to-month,1,electronic check,no
3,82.26,two-year,3,electronic check,no
35,55.73,month-to-month,3,credit card,no
11,93.47,two-year,2,bank transfer,yes
29,49.04,two-year,4,bank transfer,no
66,99.88,two-year,3,bank transfer,no
39,61.51,two-year,2,bank transfer,no
5,75.32,month-to-month,0,electronic check,yes
39,87.33,month-to-month,2,bank transfer,no
10,71.84,month-to-month,2,electronic check,yes
54,45.76,month-to-month,1,credit card,no
68,117.94,month-to-month,1,bank transfer,no
70,29.61,month-to-month,1,electronic check,no
45,52.49,month-to-month,1,electronic check,yes
62,74.91,two-year,2,credit card,no
27,22.87,month-to-month,1,electronic check,no
11,35.49,one-year,1,electronic check,no
37,99.93,month-to-month,3,credit card,yes
32,98.38,one-year,1,electronic check,yes
48,83.7,two-year,1,electronic check,yes
71,110.18,month-to-month,2,bank transfer,yes
20,95.55,one-year,0,electronic check,no
61,49.88,month-to-month,1,credit card,no
10,84.49,month-to-month,3,electronic check,yes
25,54.01,month-to-month,2,bank transfer,no
56,94.98,month-to-month,3,electronic check,yes
18,58.48,month-to-month,0,credit card,no
48,35.32,one-year,1,electronic check,no
33,107.65,month-to-month,4,electronic check,yes
37,89.04,month-to-month,1,electronic check,no
67,94.47,two-year,1,bank transfer,no
58,75.96,month-to-month,3,bank transfer,no
60,98.29,month-to-month,2,electronic check,yes
39,64.79,month-to-month,2,bank transfer,no
70,76.58,two-year,2,bank transfer,no
70,26.26,one-year,3,electronic check,no
10,75.51,one-year,6,bank transfer,no
15,101.46,two-year,1,bank transfer,yes
22,90.55,month-to-month,4,credit card,yes
40,100.32,two-year,3,credit card,no
59,69.61,month-to-month,4,credit card,no
35,108.13,one-year,0,credit card,no
70,30.83,one-year,3,credit card,no
26,107.57,one-year,4,credit card,no
66,57.13,month-to-month,1,bank transfer,no
43,29.1,month-to-month,1,electronic check,no
52,81.93,month-to-month,0,credit card,no
17,65.49,month-to-month,1,credit card,no
43,62.84,two-year,1,bank transfer,no
57,105.2,two-year,1,credit card,no
63,33.78,one-year,5,credit card,no
62,81.69,one-year,1,electronic check,no
69,61.38,two-year,3,electronic check,no
10,72.83,month-to-month,1,credit card,yes
56,69.94,two-year,2,electronic check,no
34,33.41,month-to-month,1,credit card,yes
49,71.2,month-to-month,2,credit card,yes
20,106.21,one-year,3,credit card,yes
2,37.12,one-year,0,credit card,no
6,21.15,one-year,2,credit card,no
70,26.76,one-year,0,bank transfer,no
64,65.98,month-to-month,3,electronic check,no
22,117.45,one-year,3,electronic check,no
31,24.42,two-year,1,credit card,no
18,119.09,one-year,2,credit card,yes
11,73.61,two-year,5,bank transfer,yes
61,32.01,one-year,6,credit card,no
48,61.85,two-year,1,credit card,no
6,40.74,month-to-month,3,credit card,no
15,91.42,two-year,2,credit card,yes
41,74.15,month-to-month,2,credit card,no
65,48.8,two-year,0,electronic check,no
71,45.54,month-to-month,2,credit card,no
16,106.7,one-year,2,credit card,yes
44,96.62,two-year,3,electronic check,yes
3,63.62,one-year,3,credit card,no
13,60.55,one-year,4,credit card,no
15,93.75,two-year,0,electronic check,no
32,117.07,month-to-month,5,credit card,yes
25,27.96,month-to-month,0,bank transfer,no
52,35.91,one-year,3,credit card,no
34,56.23,two-year,3,bank transfer,no
25,70.77,one-year,2,electronic check,yes
65,27.14,month-to-month,2,credit card,no
45,25.35,month-to-month,1,electronic check,no
50,41.95,month-to-month,2,bank transfer,no
53,58.6,month-to-month,3,bank transfer,no
25,93.93,month-to-month,2,credit card,yes
64,80.99,one-year,2,bank transfer,no
2,22.92,month-to-month,1,bank transfer,no
22,24.5,two-year,2,electronic check,no
12,65.2,month-to-month,0,credit card,yes
1,107.49,month-to-month,2,bank transfer,yes
71,111.5,month-to-month,3,credit card,yes
7,56.51,two-year,2,credit card,no
33,108.74,month-to-month,2,bank transfer,yes
59,112.91,month-to-month,1,bank transfer,yes
50,60.66,two-year,2,electronic check,yes
